Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2024-09-02 01:11 (GMT),On Demand,Kirra Michel,30,Meditation,Sleep,30 min Sleep Meditation,2024-06-12 16:00 (GMT),,,,,,,,,,
2024-09-02 01:13 (GMT),On Demand,Kirra Michel,30,Meditation,Sleep,30 min Sleep Meditation,2024-06-12 16:00 (GMT),,,,,,,,,,
2024-09-02 07:31 (+01),On Demand,Anna Greenberg,10,Meditation,Morning,10 min Morning Meditation,2024-08-27 05:00 (+01),,,,,,,,,,
2024-09-02 18:01 (GMT),,,125,Cardio,,125 min 36 sec Just Cardio,,,,,,,,581,,,
2024-09-03 01:00 (GMT),On Demand,Ross Rayburn,30,Meditation,Sleep,30 min Sleep Meditation,2024-03-15 23:00 (GMT),,,,,,,,,,
2024-09-03 21:26 (+01),On Demand,Hannah Frankson,30,Cycling,Power Zone,30 min Power Zone Hip Hop Ride,2024-07-12 07:25 (+01),351,192,48%,82,20.78,10.43,475,,,
2024-09-03 22:18 (+01),On Demand,Hannah Frankson,5,Cycling,Cool Down,5 min Cool Down Ride,2022-07-16 08:30 (+01),24,81,33%,86,14.84,1.23,33,,,
2024-09-04 05:53 (UTC),On Demand,Matt Wilpers,30,Running,Endurance,30 min Progression Run,2024-08-13 10:54 (UTC),733,,,,9.18,4.59,573,,1.51,6:32
2024-09-04 06:25 (UTC),On Demand,Matt Wilpers,5,Running,Cool Down,5 min Cool Down Run,2024-05-23 14:00 (UTC),0,,,,0,0,0,,0.50,
2024-09-04 22:38 (GMT),On Demand,Assal Arian,15,Stretching,Foam Rolling,15 min Foam Rolling: Lower Body,2024-07-01 16:00 (GMT),,,,,,,8,,,
